DATE,PCECCA
1/1/1929,830.819
1/1/1930,786.314
1/1/1931,761.754
1/1/1932,693.556
1/1/1933,678.258
1/1/1934,726.713
1/1/1935,770.822
1/1/1936,849.239
1/1/1937,880.647
1/1/1938,866.573
1/1/1939,915.044
1/1/1940,962.431
1/1/1941,1030.456
1/1/1942,1006.008
1/1/1943,1034.055
1/1/1944,1063.466
1/1/1945,1129.228
1/1/1946,1268.848
1/1/1947,1293.076
1/1/1948,1322.31
1/1/1949,1359.076
1/1/1950,1446.357
1/1/1951,1469.022
1/1/1952,1515.387
1/1/1953,1587.241
1/1/1954,1620.408
1/1/1955,1739.955
1/1/1956,1790.802
1/1/1957,1835.197
1/1/1958,1851.098
1/1/1959,1956.716
1/1/1960,2010.405
1/1/1961,2051.639
1/1/1962,2153.078
1/1/1963,2241.926
1/1/1964,2375.349
1/1/1965,2526.033
1/1/1966,2669.261
1/1/1967,2749.058
1/1/1968,2907.469
1/1/1969,3015.908
1/1/1970,3086.876
1/1/1971,3204.761
1/1/1972,3401.046
1/1/1973,3569.358
1/1/1974,3539.458
1/1/1975,3619.713
1/1/1976,3821.455
1/1/1977,3982.966
1/1/1978,4157.278
1/1/1979,4256.096
1/1/1980,4242.809
1/1/1981,4301.639
1/1/1982,4364.607
1/1/1983,4611.691
1/1/1984,4854.301
1/1/1985,5105.633
1/1/1986,5316.4
1/1/1987,5496.928
1/1/1988,5726.528
1/1/1989,5893.491
1/1/1990,6012.19
1/1/1991,6023.043
1/1/1992,6244.696
1/1/1993,6462.244
1/1/1994,6712.617
1/1/1995,6910.673
1/1/1996,7150.47
1/1/1997,7419.722
1/1/1998,7813.79
1/1/1999,8225.37
1/1/2000,8643.352
1/1/2001,8861.067
1/1/2002,9088.689
1/1/2003,9377.496
1/1/2004,9729.331
1/1/2005,10075.884
1/1/2006,10384.547
1/1/2007,10615.344
1/1/2008,10592.837
1/1/2009,10459.97
1/1/2010,10642.98
1/1/2011,10843.831
1/1/2012,11006.814
1/1/2013,11166.86
1/1/2014,11494.331
1/1/2015,11921.876
1/1/2016,12248.227
1/1/2017,12558.695
1/1/2018,12887.613
